Identifier,Symbol,CompanyName,ACN,ABN,HomeMarket,GICSSector,GICSIndGrp,ASXSector,ASXSubSector,FormerNames,TradingStatus,ListDate,DelistDate,DelistReason,Address,City,State,Postcode,PhoneNumber,FaxNumber,WebAddress,EmailAddress,ISIN,RegistryId,Template,ASX300
AGH1,AGH1,Australian Growth Properties Limited,003 354 443,26 003 354 443,ASX,40,4040,20,201, ,Delisted,21/05/1997,1/07/2004,Pursuant to Listing Rule 17.14,"Level 27, 363 George St",Sydney,NSW,2000,+61 2 8259 0100,+61 2 8259 0151,www.363george.com.au,,,4738,propinvest,0
AGI,AGI,Ainsworth Game Technology Limited,068 516 665,37 068 516 665,ASX,25,2530,24,241,,Trading,17/12/2001,,,10 Holker St,Newington,NSW,2127,+61 2 9739 8000 ,+61 2 9648 4327 ,www.agtslots.com,enquiries@ainsworth.com.au,AU000000AGI3,4759,indus,0
AGJ,AGJ,Agricultural Land Trust,ARSN 096 588 046,,ASX,60,6010,20,201,"Westralia Property Trust (WST), 02/07/2008.",Delisted,10/04/2003,14/07/2022,"Under Listing Rule 17.2, at the request of AGJ, pending the release of an announcement regarding the status of the receivership of iProsperity Underwriting Pty Limited and its implications for the financial status of AGJ.","Level 16, Governor Macquarie Tower, 1 Farrer Pl",Sydney,NSW,2000,+61 2 8277 0000 ,+61 2 8580 5700 ,www.agriculturallandtrust.com.au,invest@airchange.com.au,AU000000AGJ1,4738,propinvest,0
AGL,AGL,AGL Energy Limited,115 061 375,74 115 061 375,ASX,55,5510,5,52,"AGL Energy Limited (AGK), 21/11/2014",Trading,12/10/2006,,,"Level 24, 200 George St",Sydney,NSW,2000,+61 2 9921 2999 ,+61 2 9921 2552 ,www.agl.com.au,ir@agl.com.au,AU000000AGL7,4759,indus,1
AGL-NZ,AGL-NZ,Accordant Group Limited,,,NZSE,20,2020,22,222,"Allied Work Force Group Limited, 30/03/2011; AWF Group Limited, 04/06/2015; AWF Madison Group Limited (AWF-NZ), 16/10/2020",Trading,6/07/2005,,,"Level 6,  51 Shortland St",Auckland,New Zealand,1010,+64 9 526 8770 ,+64 9 579 0224 ,www.accordant.nz,,NZAWFE0001S8,4750,indus,0
AGL1,AGL1,Australian Gas Light Company (The),052 167 405,95 052 167 405,ASX,55,5510,5,52, ,Delisted,1871-01-01,26/10/2006,Delisted pursuant to Listing rule 17.11.,72 Christie St,St Leonards,NSW,2065,+61 2 9921 2999,+61 2 9921 2552,www.agl.com.au,,AU000000AGL7,4673,indus,0
AGM,AGM,Australian Governance and Ethical Index Fund,ARSN 625 826 646,,ASX,40,4020,,,,Delisted,16/07/2018,18/02/2021,"Under Listing Rule 17.11, in connection with the proposed termination and winding up of AGM as announced on 25 August 2020.","Level 15, 100 Pacific Hwy",North Sydney,NSW,2060,+61 2 9432 3087 ,,www.governanceandethicalfund.com.au,info@governanceandethicalfund.com.au,AU0000018210,4736,propinvest,0
AGM1,AGM1,Allegiance Mining NL,059 676 783,38 059 676 783,ASX,15,1510,2,27, ,Delisted,29/10/1993,21/07/2008,Delisted in accordance with listing rule 17.14.,"Level 11, Shaw House, 49 - 51 York St",Sydney,NSW,2000,+61 2 9397 7777,+61 2 9397 7788,www.allegiance-mining.com.au,mining@allegiance-mining.com.au,AU000000AGM5,4738,indus,0
AGN,AGN,Argenica Therapeutics Limited,637 578 753,,ASX,35,3520,,,,Trading,11/06/2021,,,"Unit 4, 117 Bdwy",Nedlands,WA,6009,+61 8 9329 3396 ,,www.argenica.com.au,info@argenica.com.au,AU0000150328,4758,indus,0
AGN1,AGN1,Agen Limited ,010 664 123,,ASX,,,21,212,,Delisted,18/12/1986,24/06/1998,Due to takeover by Biotech International Ltd.,11 Durbell St,Acacia Ridge,QLD,4110,+61 7 3370 6300,+61 7 3370 6370,www.agen.com.au,,,4281,indus,0
AGN2,AGN2,Australian Gemstone House Limited,121 032 059,,ASX,15,1510,2,27,,UpcomingFloat,,,,"Level 34, 50 Bridge St",Sydney,NSW,2000,+61 2 8216 0777,+61 2 8216 0788,www.ozgemstones.com.au,info@ozgemstones.com.au,AU000000AGN3,4025,indus,0
AGO,AGO,Atlas Iron Limited,110 396 168,63 110 396 168,ASX,15,1510,1,12,"Atlas Exploration Limited; Atlas Gold Limited (AGO), 30/03/2006.",Delisted,17/12/2004,22/11/2018,"In accordance with Listing Rule 17.4, following despatch of the compulsory acquisition notices by Redstone Corporation Pty Ltd.","Level 17, Raine Square, 300 Murray St",Perth,WA,6000,+61 8 6228 8000 ,+61 8 6228 8999 ,www.atlasiron.com.au,atlas@atlasiron.com.au,AU000000AGO1,4025,indus,0
AGO1,AGO1,Acm Gold Limited ,,,ASX,,,1,11,,Delisted,11/10/1988,15/04/1992,"ACM GOLD LIMITED  At the close of trading on 15/04/92, the securities of ACM Gold Ltd were removed from the Official List following the successful merger with Poseidon Gold Ltd via a scheme of arrangement.","Level 6, 233 Adelaide Tce",Perth,WA,6000,+61 9 325 7755,+61 9 325 3608,,,,4219,indus,0
AGP,AGP,Anglo Pacific Group Plc,ARBN 009 475 398,42 009 475 398,ASX,15,1510,2,21,"Anglo Pacific Resources PLC (AGP), 22/01/1998; North Sea & General Oil PLC, 28/09/1989, Anglo Pacific Group Plc (AGP), 18,06,2010.",Delisted,19/05/1988,18/06/2010,Removed by shareholder vote to delist at AGM on 12/03/2010.,17 Hill St,Mayfair,United Kingdom,W1J 5NZ,+44 20 7409 1111,+44 20 7629 0370,www.anglopacificgroup.com,,GB0006449366,4025,indus,0
AGR,AGR,Aguia Resources Limited,128 256 888,94 128 256 888,ASX,15,1510,2,27,"Newport Mining Limited (NMN), 8/10/2010.",Trading,13/02/2008,,,Rua Dr Vale,Porto Alegre,Brazil,90560010,,,www.aguiaresources.com.au,investor.relations@aguiaresources.com.au,AU000000AGR4,4730,indus,0
AGR1,AGR1,Australian Gold Resources Limited ,006 712 956,,ASX,15,1510,1,16,,Delisted,27/08/1987,26/06/2000,Pursuant to listing Rule 17.14.,"Level 8, 580 St Kilda Rd",Melbourne,VIC,3004,+61 3 9276 7875,+61 3 9510 2248,www.austgold.com.au,,AU000000AGR4,,indus,0
AGS,AGS,Alliance Resources Limited,063 293 336,38 063 293 336,ASX,15,1510,1,12,"Alliance Gold Mines NL, 29/11/1999; Alliance Gold Mines Limited (AGS), 13/07/2001; Alliance Energy Limited (AGS), 20/10/2003.",Delisted,19/10/1994,20/07/2022,"Under Listing Rule 17.4, following despatch of the compulsory acquisition notices by Gandel Metals Pty Ltd.","Suite 3, 51-55 City Rd",Southbank,VIC,3006,+61 3 9697 9090 ,+61 3 9697 9091 ,www.allianceresources.com.au,info@allianceresources.com.au,AU000000AGS2,4737,indus,0
AGU,AGU,Aurium Resources Limited,123 821 929,63 123 821 929,ASX,15,1510,3,31,,Delisted,7/08/2007,30/10/2012,delisted following completion of the schemes of arrangement whereby all of the Company's shares and options have been acquired by Padbury Mining Limited,15 Colin St,West Perth,WA,6005,+61 8 6460 0250 ,+61 8 6460 0254 ,www.aurium.com.au,info@aurium.com.au,AU000000AGU8,4025,indus,0
AGVT,AGVT,BetaShares Australian Government Bond ETF,ARSN 631 805 153,,ASX,40,4020,,,,Trading,9/07/2019,,,"Level 46, 180 George St",Sydney,NSW,2000,+61 2 9290 6888 ,+61 2 9262 4950 ,www.betashares.com.au,info@betashares.com.au,AU0000049553,4730,propinvest,0
AGX1,AGX1,Antipodes Global Shares (Quoted Managed Fund),ARSN 625 560 269,,ASX,40,4020,,,,Trading,7/11/2018,,,"Level 35, 60 Margaret St",Sydney,NSW,2000,,,www.pinnacleinvestment.com,distribution@pinnacleinvestment.com,AU0000026429,4758,propinvest,0
AGY,AGY,Argosy Minerals Limited,ARBN 073 391 189,27 073 391 189,ASX,15,1510,2,27,"Calliope Metals Corporation (CIO), 31/05/1999. Argosy Minerals Inc (AGY), 28/02/2011",Trading,6/06/1997,,,"Level 2, 22 Mount St",Perth,WA,6000,+61 8 6188 8181 ,+61 8 6188 8182 ,www.argosyminerals.com.au,admin@argosyminerals.com.au,AU000000AGY0,4756,indus,0
AGZ,AGZ,A.G.D. Mining Limited,005 482 815,38 005 482 815,ASX,15,1510,1,12,"L-Tel Corporation Limited (LTC), 08/06/2001; Indian Mining Corporation Ltd (INM), 05/02/2001; Australian Gold Development NL (ATD), 24/06/1998; Antimony Gold Corporation NL (ATD), 10/06/1999.",Delisted,18/07/1994,29/08/2006,Delisted pursuant to Listing Rule 17.14.,"Level 9, 175 Collins St",Melbourne,VIC,3000,+61 3 9663 5355,+61 3 9650 0082,www.agdmining.com.au,agdmining@agdmining.com.au,AU000000AGZ7,4172,indus,0
AHA1,AHA1,Ashanti Goldfields Company Limited,ARBN 074 370 862,,ASX,15,1510,1,11, ,Delisted,22/10/1996,1/07/2002,Due to a change of admission category to ASX listing,"Gold House, Patrice Lumumba Rd",Accra,Ghana,,+233 21 772 190,+233 21 775 947,www.ashantigold.com,james.anaman@ashantigold.com,,3976,indus,0
AHC,AHC,Austco Healthcare Limited,108 208 760,67 108 208 760,ASX,35,3510,18,183,"TSV Holdings Limited (TSH), 10/01/2012; Azure Healthcare Limited (AZV), 26/11/2020",Trading,24/09/2004,,,"Unit 1, 484 Graham St",Port Melbourne,VIC,3207,+61 3 9209 9688 ,+61 4 9209 9699 ,www.austcohealthcare.com,,AU0000120818,4737,indus,0
AHC1,AHC1,AHC Limited,010 544 699,73 010 544 699,ASX,40,4040,6,62, ,Delisted,24/03/1988,23/12/2013,delisted at the Company's request,112 Siganto Dr,Helensvale,QLD,4212,+61 7 5573 2666 ,+61 7 5573 3324 ,www.ahc.com.au,ahc@ahc.com.au,AU000000AHC4,3976,propinvest,0
AHF,AHF,Australian Dairy Nutritionals Group,057 046 607,36 057 046 607,ASX,30,3020,22,226,"APA Financial Services Group (APP), 24/10/2014; Australian Dairy Farms Group (AHF), 21/12/2018",Trading,30/06/2006,,,325 Manifold St,Camperdown,VIC,3260,+61 3 8692 7284 ,+61 7 3020 3080 ,www.adnl.com.au,shareholders@adnl.com.au,AU000000AHF7,3976,indus,0
AHF1,AHF1,Australian Healthcare Investment Fund,003 326 654,,ASX,40,4040,20,202, ,Delisted,30/04/1970,14/12/2001,"Pursuant to the Listing Rule 17.14, at the request of the Company.","Level 9, 465 Victoria Ave",Chatswood,NSW,2067,+61 2 9269 3347,+61 2 9269 3334, ,,,4738,indus,0
AHG,AHG,Automotive Holdings Group Limited,111 470 038,35 111 470 038,ASX,25,2550,13,131,"Automotive Holdings Group Limited (AHE), 30/04/2015",Delisted,3/11/2005,30/09/2019,"In accordance with Listing Rule 17.14, being the 3rd business day following the date on which AHG's securities were suspended pursuant to Listing Rule 17.4.",21 Old Aberdeen Pl,West Perth,WA,6005,+61 8 9422 7676 ,+61 8 9422 7686 ,www.ahgir.com.au,info@ahg.com.au,AU000000AHG5,4635,indus,0
AHG1,AHG1,Archaean Gold Nl ,060 775 135,,ASX,,,1,12,,Delisted,13/05/1994,29/04/1997,Following the completion of the Scheme of Arrangement with Lachlan Resources NL.,"Level 37, 100 Miller St",North Sydney,NSW,2060,+61 9 481 8470,+61 9 481 6580, ,,,4283,indus,0
AHG2,AHG2,Advance Healthcare Group Limited,002 695 589,19 002 695 589,ASX,25,2550,21,212,"Inovax Limited (INX) 7/11/2003; Melbourne Australia Investments Limited, 16/05/1994.",Delisted,20/03/1987,1/09/2009,Company removed pursuant to Listing Rule 17.15.,"Level 11, 459 Collins St",Melbourne,VIC,3000,+61 3 8610 8900,+61 3 9649 7807,www.advancehealth.com.au,,AU000000AHG5,,indus,0
AHI,AHI,Advanced Health Intelligence Ltd,602 111 115,85 602 111 115,ASX,35,3510,,,"MyFiziq Limited (MYQ), 10/03/2021; Advanced Human Imaging Ltd (AHI), 13/12/2022",Suspended,17/08/2015,,,"Unit 5, 71-73 The Esp",South Perth,WA,6151,+61 8 6244 0388 ,+61 8 9315 5475 ,www.ahi.tech,investors@ahi.tech,AU0000139636,4756,indus,0
AHI1,AHI1,Airship Industries Limited ,,,ASX,,,,,,Delisted,,3/10/1990,Failure to pay annual listing fees,"Mona House, Dale St",Ramsey,Isle of Man,MK42 OTF,,,,,,,indus,0
AHI2,AHI2,Allco HIT Limited,122 462 328,,ASX,40,4020,19,193,,Delisted,16/02/2007,1/09/2009,Company removed pursuant to Listing Rule 17.15.,"Level 24, Gateway, 1 Macquarie Pl",Sydney,NSW,2000,+61 2 9255 4100,+61 2 9241 2550,www.allcohit.com.au,,AU000000AHI1,4738,propinvest,0
AHJ,AHJ,Air Change International Limited,087 737 068,14 087 737 068,ASX,20,2010,19,195,"eStar Online Trading Limited (EST) 04/11/2003;Infracorp Limited(IFC), 14/11/2005; IFC Capital Limited (IFC) 22/04/2010.",Delisted,23/08/2000,4/01/2016,"delisted from the close of trading on Thursday, 31 December 2015, pursuant to Listing rule 17.12 and Guidance Note 33",2 Ashford Ave,Milperra,NSW,2214,+61 2 8774 1400 ,+61 2 9792 2740 ,www.airchange.com.au,invest@airchange.com.au,AU000000AHJ9,4738,indus,0
AHK,AHK,Ark Mines Limited,,,ASX,15,1510,,,,Trading,9/05/2011,,,"Level 7, 1 Margaret St",Sydney,NSW,2000,,,www.arkmines.com.au,info@arkmines.com.au,AU000000AHK7,4025,indus,0
AHL,AHL,Adrad Holdings Limited,121 033 396,51 121 033 396,ASX,25,2510,,,,Trading,30/09/2022,,,26 Howards Rd,Beverley,SA,5009,+61 8 8243 9876 ,+61 8 8347 7245 ,www.adradholdings.com.au,,AU0000237174,4018,indus,0
AHL1,AHL1,Australmin Holdings Limited,,,ASX,,,,,,Delisted,,13/06/1990,As from the close of trading on 13/06/90 the securities of the company were removed from the Official List following the receipt of notification that Newmont Australia Ltd. has proceeded to compulsory acquisition.,"Level 27, 44 St. Georges Tce",Perth,WA,6000,+61 9 325 6955,+61 9 325 5689,,,,4214,indus,0
AHM,AHM,Alpha Uranium Limited,,,ASX,10,1010,4,46,,Withdrawn Float,,,,,,,,,,www.alphauranium.com.au,,AU000000AHM3,,indus,0
AHN,AHN,Athena Resources Limited,113 758 900,,ASX,15,1510,1,13,,Trading,22/11/2006,,,"Level 33, 1 Spring St",Perth,WA,6000,+61 4 4889 5664 ,,www.athenaresources.com.au,ahn@athenaresources.com.au,AU000000AHN1,4025,indus,0
AHO,AHO,Australian Hotel Fund,ARSN 092 971 518,,ASX,40,4040,20,201,"Peppers Hotel Trust (PHT), 12/11/2002",Delisted,2/10/1996,14/11/2007,Delisted pursuant to Listing Rule 17.14.,"Level 26, 60 Margaret St",Sydney,NSW,2000,+61 2 9080 8000,+61 2 9080 8111,www.hotelcapitalpartners.com.au,info@hotelcapitalpartners.com.au,AU000000AHO9,4738,propinvest,0
AHQ,AHQ,Allegiance Coal Limited,,,ASX,15,1510,,,,Delisted,29/05/2012,29/08/2023,"Under Listing Rule 17.15, any entity that had not paid its annual listing fees in respect of the year ending 30 June 2024","Suite 107, 109 Pitt St",Sydney,NSW,2000,+61 2 9233 5579 ,+61 2 9233 1349 ,www.allegiancecoal.com.au,info@allegiancecoal.com.au,AU000000AHQ4,4737,indus,0
AHR,AHR,Anchor Resources Limited,122 751 419,,ASX,15,1510,2,28,,Delisted,5/07/2007,2/05/2019,"In accordance with Listing Rule 17.14, following the suspension of AHR's securities pursuant to Listing Rule 17.4.","Suite 506, Level 5, 50ÿClarenceÿSt",Sydney,NSW,2000,+61 2 9078 7671 ,+61 2 9078 7661 ,www.anchorresources.com,info@anchorresources.com.au,AU000000AHR2,4736,indus,0
AHU,AHU,Allco Hybrid Investment Trust,ARSN 109 102 070,,ASX,40,4020,19,192,,Delisted,20/08/2004,14/01/2009,"delisted at the request of the Trust, following the removal of all of the quoted securities of the Trust","Level 24, Gateway, 1 Macquarie Pl",Sydney,NSW,2000,+61 2 9255 4100,+61 2 9241 2550,,,AU000000AHU6,4738,propinvest,0
AHX,AHX,Apiam Animal Health Limited,604 961 024,50 604 961 024,ASX,35,3510,,,,Trading,15/12/2015,,,27- 33 Piper Ln,East Bendigo,VIC,3550,+61 3 5445 5999 ,+61 3 5445 5914 ,www.apiam.com.au,enquiries@apiam.com.au,AU000000AHX0,4736,indus,0
AHX1,AHX1,Australian Hospital Care Limited ,072 273 931,,ASX,,,21,213,,Delisted,28/08/1996,14/03/2001,"Pursuant to Listing Rule 17.14, following a successful takeover by Mayne Nickless Ltd.","Level 1, 50 Camberwell Rd",Hawthorn East,VIC,3123,+61 3 9267 2233,+61 3 9813 2064,www.ahcl.com.au,,,4737,indus,0
AHY,AHY,Asaleo Care Limited,154 461 300,61 154 461 300,ASX,30,3030,,,,Delisted,27/06/2014,5/07/2021,Following the implementation of the scheme of arrangement by which Essity Holding Company Australia Pty Ltd acquired all of the issued shares in AHY.,30-32 Westall Rd,Springvale,VIC,3171,+61 3 9550 2999 ,,www.asaleocare.com,investors@asaleocare.com,AU000000AHY8,4730,indus,0
AHY1,AHY1,Australian Hydrocarbons Limited ,010 850 487,,ASX,,,4,41,"AUSTRALIAN HYDROCARBONS NL, 17/10/91",Delisted,14/07/1983,28/01/1997,Removed from the Official List at the request of the Company,"Level 27, Comalco Place, 12 Creek St",Brisbane,QLD,4000,+61 7 3229 0994,+61 7 3221 6193, ,,,4288,indus,0
AI1,AI1,Adisyn Ltd,155 473 304,,ASX,45,4510,,,"DC Two Limited (DC2), 23/10/2023",Trading,10/11/2020,,,2 -3/4 McGrat Rd,Henderson,WA,6166,+61 8 6158 9990 ,+61 8 6268 4926 ,www.adisyn.com.au,investors@adisyn.com.au.au,AU0000301400,4754,indus,0
AIA,AIA,Auckland International Airport Limited,ARBN 085 819 156,52 085 819 156,ASX,20,2030,5,54, ,Trading,22/02/1999,,,4 Leonard Isitt Dr Auckland Airport Business District,Manukau,New Zealand,2022,+64 9 275 0789 ,+64 9 275 4927 ,www.aucklandairport.co.nz,tellus@aucklandairport.co.nz,NZAIAE0002S6,4673,indus,1
AIA-NZ,AIA-NZ,Auckland International Airport Limited,ARBN 085 819 156,52 085 819 156,NZSE,20,2030,5,54, ,Trading,22/02/1999,,,4 Leonard Isitt Dr Auckland Airport Business District,Manukau,New Zealand,2022,+64 9 275 0789 ,+64 9 275 4927 ,www.aucklandairport.co.nz,tellus@aucklandairport.co.nz,NZAIAE0001S8,4673,indus,0
AIB,AIB,Aurora Global Income Trust,092 626 885,69 092 626 885,ASX,40,4020,20,201,"Aurora Infrastructure Buy-Write Income Trust (AIB) on 24/11/2009. Aurora Global Infrastructure Income Trust (AIB), 22/12/2010",Delisted,24/12/2007,29/08/2023,"Under Listing Rule 17.15, any entity that had not paid its annual listing fees in respect of the year ending 30 June 2024","Suite 613, Level 6, 370 St Kilda Rd",Melbourne,VIC,3004,+61 2 9080 2377 ,+61 2 9080 2378 ,www.aurorafunds.com.au,enquiries@aurorafunds.com.au,AU000000AIB4,4736,propinvest,0
AIC,AIC,Australian Investors Corporation Limited ,,,ASX,,,,,,Delisted,,3/10/1990,Failure to pay annual listing fees,"Level 22, MLC Centre, Martin Pl",Sydney,NSW,2000,+61 2 220 9500,+61 2 221 4573,,,,4249,indus,0
AIE,AIE,Autodom Limited,009 123 782,43 009 123 782,ASX,25,2510,11,115,"A.I. Engineering Corporation Limited, 22/12/2000; Kostech International Limited, 24/03/1987. A.I. Limited (AIE), 21/12/2007.",Delisted,30/04/1992,30/08/2013,delisted following non-payment of annual listing fees in respect of the year ending 30 June 2014,"Level 6-24, Monash Dr",Dandenong South,VIC,3175,+61 38 8795 3248 ,+61 3 9799 9711 ,www.autodom.com.au,info@autodom.com.au,AU000000AIE8,4025,indus,0
AIG,AIG,Aircruising Australia Limited,010 484 938,25 010 484 938,ASX,25,2530,24,243, ,Delisted,3/07/1986,2/01/2013,delisted at the request of the Company,"Unit 20, 77 Bourke Rd",Alexandria,NSW,2015,+61 2 9693 2233,+61 2 9669 6064,www.billpeachjourneys.com.au,info@aircruising.com.au,AU000000AIG3,4673,indus,0
AIH,AIH,Alinta Infrastructure Holdings Limited,108 311 100,63 108 311 100,ASX,55,5510,5,53,,Delisted,4/10/2005,28/02/2007,Delisted pursuant to Listing Rule 17.14.,"Level 6, Alinta Plaza, 12 - 14 The Esp",Perth,WA,6000,+61 8 6213 7500 ,+61 8 6213 7002 ,www.aih.net.au,,,4738,indus,0
AII,AII,Almonty Industries Inc,ARBN 648 673 714,,ASX,15,1510,,,,Trading,2/08/2021,,,"Suite 5700, 100 King St West",Toronto ON,Canada,M5X 1C7,+1 647 438 9766 ,+1 416 628 2516 ,www.almonty.com,info@almonty.com,AU0000157679,4025,indus,0
AII1,AII1,Australian Industrial Investment Limited ,,,ASX,,,,,,Delisted,19/08/1987,3/10/1990,Failure to pay annual listing fees,,West Perth,WA,6005,(09) 480 1555,(09) 480 1599,,,,,indus,0
AII2,AII2,Abra Mining Limited,110 233 577,,ASX,15,1510,0,1,,Delisted,8/04/2005,5/08/2011,"at the request of the Company, following the compulsory acquisition by Hunan Non Ferrous Metals Corp, Ltd in accordance with listing rule 17.14","Level 1, 34 Colin St",West Perth,WA,6005,+61 8 9226 0200,+61 8 9266 2003,www.abramining.com.au,admin@abramining.com.au,AU000000AII9,4172,indus,0
AIM,AIM,Ai-Media Technologies Limited,122 058 708,,ASX,20,2020,,,"Access Innovation Holdings Limited (AIM), 05/07/2021",Trading,15/09/2020,,,"Suite 3.02, 9 Help St",Chatswood,NSW,2067,+61 2 8870 7700 ,+61 2 8870 7788 ,www.ai-media.tv,info@ai-media.tv,AU0000101636,4759,indus,0
AIN,AIN,Auto Innovations Group Limited,,,ASX,,,,,,Withdrawn Float,,,,"Unit 59, 1 Arbour Ave",Robina,QLD,4228,+61 7 2293 3510 ,,www.autoinnogroup.com,,AU000000AIN9,3976,indus,0
AINF,AINF,Global X Artificial Intelligence Infrastructure ETF,ARSN 684 096 633,,ASX,40,4020,,,,Trading,30/04/2025,,,"Level 9, 115 Pitt St",Sydney,NSW,2000,+61 2 8311 3488 ,,www.globalxetfs.com.au,info@globalxetfs.com.au,AU0000383986,4737,propinvest,0
AIO,AIO,Asciano Limited,123 652 862,26 123 652 862,ASX,20,2030,5,54,"Asciano Group (AIO), 26/11/2010",Delisted,6/06/2007,26/08/2016,in accordance with Listing Rule 17.11,"Level 4, 476 St Kilda Rd",Melbourne,VIC,3004,+61 3 9284 4000 ,+61 3 9699 2869 ,www.asciano.com.au,info@asciano.com.au,AU000000AIO7,4737,indus,0
AIP,AIP,AMP Industrial Trust,,92 954 188 503,ASX,40,4040,20,201,"National Industrial Property Trust (NPT), 13/11/1998.",Delisted,16/03/1994,9/10/2003,"Delisted pursuant to Listing Rule 17.14, following compulsory acquisition by Macquarie Goodman Funds Management","Level 22, 33 Alfred St",Sydney,NSW,2000,+61 2 9257 5472,+61 2 9257 5099,www.amp.com.au/industrialtrust,,,4738,propinvest,0
AIQ,AIQ,Alternative Investment Trust,ARSN 112 129 218,,ASX,40,4020,19,192,Everest Babcock & Brown Alternative Investment Group (EBB) 01/08/2006. Everest Babcock & Brown Alternative Investment Trust (EBI) on 09/02/2009,Trading,8/04/2005,,,"Level 16, Governor Macquarie Tower, 1 Farrer Pl",Sydney,NSW,2000,+61 2 8277 0000 ,+61 2 8580 5700 ,www.thealternativeinvestmenttrust.com,AIT@laxeypartners.com,AU000000AIQ2,4673,propinvest,0
AIR,AIR,Astivita Limited,139 461 733,,ASX,20,2010,9,91,"Astivita Renewables Limited, 27/12/2013",Delisted,16/12/2009,20/06/2022,"Under Listing Rule 17.4, following despatch of the compulsory acquisition notices by Tamawood Limited.",243 Milton Rd,Milton,QLD,4064,+61 7 3726 2000 ,+61 7 3726 2099 ,www.astivita.com.au,sales@astivita.com.au,AU000000AIR0,4741,indus,0
AIR-NZ,AIR-NZ,Air New Zealand Limited,ARBN 000 312 685,70 000 312 685,NZSE,20,2030,14,142, ,Trading,1/10/1997,,,185 Fanshawe St,Auckland,New Zealand,1010,+64 9 336 2400 ,+64 9 336 2401 ,www.airnewzealand.co.nz,investor@airnz.co.nz,NZAIRE0001S2,4673,indus,0
AIR1,AIR1,Air International Group Limited ,097 469 497,,ASX,,,,,,Delisted,1/07/1982,19/12/1990,T/O by Futuris Corporation Limited,437 Williamstown Rd,Melbourne,VIC,3207,+61 3 644 4222,+61 3 645 3292,,,,4290,indus,0
AIS,AIS,Aeris Resources Limited,147 131 977,,ASX,15,1510,,,"Straits Metals Limited (SRQ), 21/02/2011;Straits Resources Limited (SRQ),31/12/2015;",Trading,2/02/2011,,,"Level 6, 120 Edward St",Brisbane City,QLD,4000,+61 8 3034 6200 ,+61 8 3034 6290 ,www.aerisresources.com.au,info@aerisresources.com.au,AU000000AIS8,4758,indus,0
AIV,AIV,Activex Limited,113 452 896,11 113 452 896,ASX,15,1510,1,15,,Trading,11/04/2006,,,"Suite 2, 3B Macquarie St",Sydney ,NSW,2000,+61 2 9251 9088 ,+61 7 3236 4288 ,www.activex.com.au,admin@activex.com.au,AU000000AIV2,4736,indus,0
AIY,AIY,Authorised Investment Fund Limited,068 793 322,51 068 793 322,ASX,40,4020,19,191,"Wine Investment Fund Limited (WIF), 18/3/2004",Delisted,22/04/1999,23/11/2021,"In accordance with Listing Rule 17.12, the removal has been undertaken in accordance with the policy set out in section 3.4 of ASX Listing Rules Guidance Note 33 Removal of Entities from the ASX Official List.","Level 40, 140 Williams St",Melbourne,VIC,3000,+61 3 9098 8624 ,,www.authorisedinvestment.com.au,info@authorisedinvestment.com.au,AU000000AIY6,4737,propinvest,0
AIZ,AIZ,Air New Zealand Limited,ARBN 000 312 685,70 000 312 685,ASX,20,2030,14,142, ,Trading,1/10/1997,,,185 Fanshawe St,Auckland,New Zealand,1010,+64 9 336 2400 ,+64 9 336 2401 ,www.airnewzealand.co.nz,investor@airnz.co.nz,NZAIRE0001S2,4673,indus,0
AJA,AJA,Astro Japan Property Group,ARSN 112 799 854,,ASX,60,6010,20,201,"Babcock & Brown Japan Property Trust (BJT), 27/7/2009; Astro Japan Property Trust (AJA), 6/11/2009",Delisted,4/04/2005,11/10/2017,"At the request of the Group and in accordance with Listing Rule 17.11, after unitholders resolved to wind up Astro Japan Property Trust.","Suite 4, Level 10, 56 Pitt St",Sydney,NSW,2000,+61 2 8987 3900 ,+61 2 8987 3999 ,www.astrojapanproperty.com,investor@bbjapanpropertytrust.com,AU000000AJA4,4730,propinvest,0
AJA1,AJA1,Asia Diversified Fund Limited,,,ASX,60,6010,19,192,,Withdrawn Float,,,,,,,,,,,,AU000000AJA4,,indus,0
AJD,AJD,Asia Pacific Data Centre Group,159 621 735,24 159 621 735,ASX,60,6010,,,,Delisted,9/01/2013,27/12/2018,"In accordance with Listing Rule 17.14, following the suspension of AJD's securities pursuant to Listing Rule 17.4.","Level 13, 135 King St",Sydney,NSW,2000,+61 2 8405 8872 ,,www.asiapacificdc.com,info@asiapacificdc.com,AU000000AJD8,3976,propinvest,0
AJF,AJF,Armstrong Jones Perth Property Fund ,,,ASX,,,20,201,,Delisted,,2/06/1997,delisted pursuant to Listing Rule 17.11 at the Company's request,"Level 10, Australia Place, 15 William St",Perth,WA,6000,+61 8 9322 0141,+61 8 9481 1859, ,,,4292,propinvest,0
AJJ,AJJ,Asian American Medical Group Limited,091 559 125,42 091 559 125,ASX,35,3510,13,131,Costarella Design Limited (CLD) on 31/08/2009; Asian Centre For Liver Diseases And Transplantation Limited (AJJ) on 18/12/2012.,Delisted,19/03/2007,24/11/2023,"Under Listing Rule 17.2, at the request of AJJ, pending the release of an announcement regarding the appointment of a sufficient number of directors to comply with section 201A(2) of the Corporations Act 2001 (Cth).","#05-02, Gleneagles Medical Centre, 6 Napier Rd",Singapore,Singapore,258499,+65 8110 0999 ,,www.aamg.co,enquiry@aamg.co,AU000000AJJ5,4738,indus,0
